PUBLISHER,TOTAL BOOKS,BOOK TITLES
Phoenix,1,I am Malala: girl who stood up for education and was shot by the Taliban
Pigeon books,1,George Washington :a biography
Pineworld Learning Solutions Pvt. Ltd.,9,"`The salt in life 8,The salt in life 3,The salt in life 4,The salt in life 5,Wow an activity based general knowledge: class 1,Wow an activity based general knowledge: class 2,Wow an activity based general knowledge: class 3,Wow an activity based general knowledge: class 4,Wow an activity based general knowledge: class 6"
Pinky book distributor,2,"Gullivers travel,Little Women"
Pinnacle Books Pvt.Ltd.,3,"First Illustrted Dictionary,First Illustrted Dictionary,Grammar In Action"
Pitamber Publishing Company Pvt. Ltd.,40,"Empoering Mental Math,Empowering Mathematics,Empowering Mental Math,Empowering Mental Math,Empowering Mental Math,Empowering Mental Math,Empowering Mental Math,Empowering Mental Math,Empowering Mental maths,Empowering Mental maths ; practice book 6,Empowering mental maths 7,Empowering Science,Empowering Science,Empowering Science,Empowering Science,Empowering science  7,Empowering science 6,Empowering science with Environment Education,Empowering science with Environment Education,Empowering Science with Environment Education,Empowering Science With Environmental Education,Empowering social science 5,Fandamentals of Biology,Fundamentals of National Income Accounting,Fundamentals of National Income Accounting,Gulliver Travels: Jonathan Swift,Jen austen''s Pride and Prejudies,Jen austen''s Pride and Prejudies,Learning Computer,Learning Computers,Mathematics,Mental math cum practice book 8,Mental Mathematics : Work book and Test Papers,New learning composite mathematics 5,Numericals in Physics,Principles of Fuct"
Plata Publishing,2,"Rich dad poor dad,Rich dad poor dad"
PM Publisher Pvt. Ltd.,9,"Diary of a young girl,Gulliver''s travels-1,Gulliver''s travels-2,Invisible man,My bits and bytes; computer series,Silas marner,Story of my life,Three men in a boat,Up from slavery"
Pocket Books,2,"Bear Snores on,Mrs McTats and her houseful of cats"
Prachi Educational Publishers,20,"Bhasha Setu Hindi Pathyapustak,English Grammar,English grammar 6,English Grammar 7,Environmental Studies,Excellence in english,Excellence in Mathematics : A Complete Textbook,Excellence in Mathematics : A Complete Textbook,Excellence in Mathematics 6,Excellence in mathematics 7,Excellence in mathematics 8,Excellence in Social Studies,Excellence in Social Studies: Based on the latest syllabus,Excellence mathematics 5,Saransh hindi ki pathaypushtak 7,Saransh hindi ki pathaypushtak 8,Science 6,Science Life today,Social science 8,Social science lab manual"
Prachi India Pvt. Ltd.,26,"Bhasha Setu : Pathyapustak 6,Excellence in Mathematics,Excellence in Mathematics,Excellence in Mathematics,Excellence in Mathematics,Excellence in Mathematics,Excellence in Mathematics,Excellence in mathematics 5,Excellence in Mathematics 6,Excellence in Mathematics 8,Excellence in social science 6,Excellence Social Studies: Based on the Latest Syllabus,Map Reflection,N ew Dimensions in Mathematics,New Dimensions in Mathematics,New edgeways : multiskill english 8,New edgeways 6,Saransh : pathyapustak 5,Saransh : Pathyapustak 6,Saransh hindi pathaypushak 5,Science,Science class 7,Science Practice Book with Lab Activity,Science Practice Book with Lab Activity,Science: Practice Book with Lab Activity,Vision in ICT Education"
Prachi India Pvt.Ltd.,36," Atlas: Map Reflection, Atlas: Map Reflection, Atlas: Map Reflection, Atlas: Map Reflection,Biology with Environmental Science,Environmental Studies,Excellence in english,Excellence in english,Excellence in english,Excellence in Mathematics,Excellence in Mathematics,Excellence in mathematics 7,Excellence in Mathematics: Based on the latest CBSE Syllabus,Excellence in social science 7,Excellence Social Studies,Formative and Summative Assessment approach in science: Chemistry,Health and Physical Education,Let''s Learn english,Map Reflection,Master Stroke : A step drawing series,Netctar Drops: A book on value education & social harmony,Netctar Drops: A book on value education & social harmony,Netctar Drops: A book on value education & social harmony,Netctar Drops: A book on value education & social harmony,Netctar Drops: A book on value education & social harmony,New Demensions in Mathematics,New Demensions in Mathematics,New Dimensions in Mathematics,Physics,Science,Science Experiments,Science Experiments,Socia"
Prachi Publications,2,"Science 8,Vision in ICT Education: Information and Communication Technology in Schools"
Prachi Pvt. Ltd,1,Health and physical education
Prachi Pvt. Ltd.,18,"Browse the world,Browse the world,Excellence in mathematics,Excellence in mathematics,Excellence in mathematics,Excellence in mathematics,Excellence in mathematics,Excellence in mathematics,Excellence in social studies,Nectar drops,Nectar drops,Nectar drops,Practical approach in chemisry,Practical approach in chemisry,Practical approach in physics,Science,Social Science,Wisdom tree"
Pradeep Publication,26,"Fundamental mathematics 10,Fundamental mathematics 9,Fundamental Physics vol .1 12,Fundamental physics vol 2 12,Fundamental Physics vol.2,New course chemistry vol. 2,New course chemistry vol.1,Objective Chemistry Vol.1 For Jee and jee Advanced,Objective Chemistry Vol.2 For Jee and jee Advanced,Pradeep's chemistry vol.1,Pradeep's chemistry vol.2,Pradeep's fundamental mathematics,Pradeep's Fundamental physics,Pradeep's fundamental physics vol 1,Pradeep's fundamental physics vol 2,Pradeep's new course Chemistry vol.1 11,Pradeep's new course Chemistry vol.2 11,Pradeep's science 10,Pradeep's science biology,Pradeep's science biology,Pradeep's science biology 10,Pradeep's science chemistry,Pradeep's science chemistry,Pradeep's science physics,Pradeep's science physics 10,Pradeep's science physics 9"
Pradeep publications,19,"Chemistry,Chemistry,Fundamental Physics,Fundamental Physics vol . 1, class 11,Fundamental Physics vol 2, class 11,New chemistry chemistry with value based questions, 13th ed.,  Vol.1,New chemistry chemistry with value based questions, 13th ed.,  Vol.2,New cource Chemistry vol . 1, class 12,New cource Chemistry vol .2, class 12,Pradeep''s A textbook of Biology .vol 1 class 11,Pradeep''s A textbook of Biology .vol 1 class 11,Pradeep''s A textbook of Biology 12,Pradeep''s funadamental mathematics,Pradeep''s funadamental physics vol.1 class 11,Pradeep''s funadamental physics vol.1 class 11,Pradeep''s new cource chemistry, Vol.1,Pradeep''s new cource chemistry, Vol.2,Pradeep''s new course Chemistry vol.1,Pradeep''s new course Chemistry vol.1"
Prakashan Pvt.Ltd.,2,"Focus on Social Sciences,Milestone in English : Main Course book"
Prentice Hall,1,Management information system: managinf th digital firm
Prentice Hall of India,1,Textbook of computer science
Pristine education (p)ltd,29,"Compact science 6,Compact science 7,Compact Science 8,Knowledege cafe 8,Knowledge cafe,Knowledge cafe,Knowledge cafe 7,Map Booster 10,Mathematices,Science,Science,Scorewell in English Communicative 10,Scorewell in English Communicative 10,Scorewell in Hindi course B 10,Scorewell in Hindi course B 10,Scorewell in Hindi course B 9,Scorewell in Hindi course B 9,Scorewell in Mathematics 10,Scorewell in Mathematics 10,Scorewell in Mathematics 9,Scorewell in Mathematics 9,Scorewell in mathematics 9,Scorewell in science 10,Scorewell in Science 10,Scorewell in Science 10,Scorewell in Social Science 10,Scorewell in Social Science 10,Scorewell in Social Science 9,Scorewell in Social Science 9"
Progress Publishers,2,"The Road to life,The Road to life"
Pruquest learning,6,"English : a communicative integrated-skill course 8,English : literature reader 8,English literature reader,English literature reader 5,English literature reader 6,Science class 7th"
Puffin Books,69,"An identity card for Krishna,Boy tales of childhood,Charlie and the chocolate factory,Charlie and the great glass elevator,Charlie and the great glass elevator,Cricket for the crocodile,Curious tales from the Himalayas,Curious tales from the Himalayas,Curious tales from the Himalayas,Danny the champion of the world,Danny the champion of the world,Diary of a wimpy kid,Diary of a wimpy kid :double down,Diary of a Wimpy Kid old school,Diary of a Wimpy kid: cabin fever,Diary of a wimpy kid: the third wheel,Esio Trot,Fantastic Mr.fox,Favorite Puzzles,Favorite Puzzles,Favorite Puzzles,Fun in devlok kama vs yama,George's marvellous medicine,James and the giant peach,James and the giant peach,Kashmiri story teller,Looking for the rainbow,Lori's magical mystery,Malgudi Adventures;classic tales for children,Malgudi school days,Matilda,Oliver and Amanda,Percy Jackson and the battle of the labyrinth 4,Percy Jackson and the last olympian  5,Percy Jackson and the lighting thief 1,Percy Jackson and the sea of monsters 2,Per"
Quercus,1,Human body : a visual guide to human anatomy
Quintessence book,1,1001 days the shaped world
Rachana Sagar,20,"CBSE Previous 10 years chapterwise solved question bank 10,Enriched Scanner Physics 12,Mathematics workbook : Practice material 6,Mathematics workbook : practice material 6,Mathematics workbook cum practice book 8,Mathematics workbook cum practice material 8,Science workbook cum practice book 6,Science workbook cum practice material 7,Science workbook cum practice material 8,Together with : objective type questions 10,Together with biology 12,Together with english communicative with solution: term 2, class 10,Together with english communicative with solution: term 2, class 9,Together with english communicative: term 2, class 9,Together with english core  12,Together with hindi B  with solution: term 2, class 10,Together with hindi B  with solution: term 2, class 9,Together with mathematics 5,Together with novels the diary of a young girl and the story of my life: term 2, class 10,Together with social science with solution: term 2, class 10"
Rachna Sagar,35,"CBSE Sample Papers English Core,English core pull out worksheets 11,Enriched scanner physics 12,Mathematics 7,Mathematics Buzz !!,Mathematics workbook cum practice material 6,New mathematics 6,Science workbook cum practice book 6,Science workbook cum practice material,Social Science 10,Social Science 10,Sunahari Dhup 5,Sunahri Dhoop Pathyapustak,Sunhari doop 3,Together with CBSE Sample papers 12,Together with CCE in social science,Together with english,TOGETHER WITH ENGLISH CORE,Together With English Core Assignments,Together With English Core Solution,Together With English Core Solutions,Together with mathematics 12,Together with sanskritam sampreshanatmak uttarsahitam: term 1, class 10,Together with sanskritam sampreshanatmak uttarsahitam: term 1, class 10,Together with sanskritam sampreshanatmak uttarsahitam: term 1, class 9,Together with sanskritam sampreshanatmak uttarsahitam: term 1, class 9,Together with sanskritam sampreshanatmak uttarsahitam: term 2, class 10,Together with sanskritam sampreshanatmak "
Rachna Sagar Pvt. Ltd.,31,"Mathematics workbook cum-practice material 7,New mathematics 8,Project work: Accountancy and Business study,Sample papers : Economics,Sample papers : English cimmunicative, term 2, class 10,Sample papers : Hindi B, term 2,Sample papers : Mathematics,Sample papers : Physics,Science workbook : practice material 7,Sunehri dhup : pathyapustak 5,Textbook of Mathematics, term 1,Class 10,Textbook of Mathematics, term 2,Class 10,Textbook of Mathematics, term 2,Class 9,Together with : objective type questions,Together with Economics with solution: support material for CBSE examination 2016,Together with English communicative solution , term 2, Class 10,Together with English communicative solution , term 2, Class 9,Together with English communicative, term 2 ,Class 10,Together with English communicative, term 2 ,Class 9,Together with Hindi B with solution, term 2: for CBSE examination 2016,Together with MAthematicss with solution: support material for CBSE examination 2016,Together with Mathematis with solution, term 2"
Rachna Sagar PVT.Ltd.,74,"Accountancy,Art,Evolutions We and the world Social Science,Evolutions we and thee world Social Science,Lab Kit includes formative tools : Science,Lab Kit Science,Lab Manual : Chemistry,Lab Manual Science,Mathematics Lab Kit : Includes Formative Tools,Mathematics Laboratory manual,Mathematics with solution : Based on latest syllabus,Mathematics: Laboratory Manual,Mathematics: Sample Papers,My big book of values,New exploring Computer,New Exploring Computers,New Exploring Computers,New Exploring Computers,New Exploring Computers,New Exploring Computers,New Exploring Computers,Nine plus one Sample papers English Core,Scanner science,Science Lab Skills,Science wirh Xtra Innings,Science: Multiple choice Questions,Science: Multiple choice Questions,Shrusti sanskrit vyakaan,Social Studies,Together with  English core : support material for CBSE examination 2016,Together with  English core solution: support material for CBSE examination 2016,Together with cbse nine plus one cce sample papers : Science Term-1,Together "
